study NAme,subid,study version,gender,hisp,ethnicity,english,numlang,parented,othered,premie,age,agegroup,exclude
negtracker,041113_04,5_2,female,no,white,100,1,3,3,no,3.5,3,0
negtracker,041113_05,5_2,female,no,asian,100,1,6,6,no,3.6,3,3
negtracker,041113_06,5_2,male,no,white,100,2,6,2,no,4.3,4,0
negtracker,041113_07,5_2,male,no,white,100,1,6,4,no,4.8,4,0
negtracker,041113_08,5_2,male,yes,NA,100,2,2,2,no,3,3,0
negtracker,041113_09,5_2,male,yes,other,100,2,4,4,yes,4.4,4,0
negtracker,041113_10,5_2,female,yes,other,25,1,NA,NA,no,2.3,2,1
negtracker,041113_11,5_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,041113_12,5_2,male,no,NA,100,1,6,6,no,3.9,3,0
negtracker,041113_13,5_2,male,no,white,100,1,6,6,no,3.9,3,0
negtracker,041113_14,5_2,Male,no,white,100,1,4,4,no,3.6,3,0
negtracker,041113_15,5_2,Female,no,mixed,90,1,5,3,no,4.7,4,0
negtracker,041313_01,5_3,male,no,black,75,3,6,6,no,3.6,3,0
negtracker,041313_02,5_3,female,no,white,90,2,1,3,no,4.9,4,0
negtracker,041313_03,5_3,female,no,white,100,1,3,NA,no,3.5,3,3
negtracker,041313_04,5_3,female,no,white,90,2,3,6,no,3.5,3,0
negtracker,041313_05,5_3,male,no,white,100,1,6,6,no,3,3,0
negtracker,041313_06,5_3,NA,NA,NA,90,NA,NA,NA,NA,2.9,2,0
negtracker,041313_07,5_3,female,no,mixed,100,1,6,6,no,4.9,4,0
negtracker,041313_08,5_3,female,no,mixed,100,1,6,6,no,3,3,0
negtracker,041313_09,5_3,male,no,asian,100,1,4,4,no,3.1,3,0
negtracker,041313_10,5_3,NA,NA,NA,90,NA,NA,NA,NA,3.4,3,0
negtracker,041313_11,5_3,male,no,white,100,1,6,4,no,4.8,4,0
negtracker,041313_12,5_3,NA,NA,NA,100,NA,NA,NA,NA,4.4,4,0
negtracker,041313_13,5_3,female,no,asian,50,3,6,4,no,4.5,4,1
negtracker,042513_01,5_1,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,042513_02,5_1,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,042513_03,5_1,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,042513_04,5_1,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,042513_05,5_1,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,042713_01,5_1,female,no,asian,50,2,1,4,no,4.3,4,3
negtracker,042713_02,5_1,NA,NA,NA,50,2,NA,NA,NA,4.6,4,1
negtracker,042713_03,5_1,male,no,white,75,2,4,4,yes,4.7,4,0
